16826,9,2,"1.0","02",3001,"6",,35.00,"DNEV,SOBE,KUHIWE,KUPAT.,PREDS.,TRPEZARIJE I TERASE",704091,45267,"11",,
16827,10,2,"3.0","01",3001,"7",,76.00,"SA OSTAVOM",704091,45267,"11",,
16828,11,2,,"03",3001,"8",,33.00,,704091,45267,"11",,
16829,12,2,"1.0","03",3001,"9",,35.00,"SOBE,KUHIWE,KUPATILA,PREDSOBQA,TRPEZARIJE I TERASE",704091,45267,"11",,
16830,13,2,"2.0","03",3001,"10",,45.00,"SA OSTAVOM",704091,45267,"11",,
16831,14,2,"1.0","03",3001,"11",,33.00,"SOBE,KUHIWE,KUPATILA,PREDSOBQA,TRPEZARIJE I TERASE",704091,45267,"11",,
16832,15,2,"2.0","04",3001,"12",,65.52,"DVE SOBE,KUPATILA,PREDSOBQA,TRPEZARIJE I OSTAVE",704091,45267,"11",,
16833,16,2,,"04",3001,"13",,55.37,"DVE SOBE,KUHIWE,KUPATILA,PRED.,TRPEZARIJE I OSTAVE",704091,45267,"11",,
16834,1,2,,"SU",3003,"BB",,190.15,"OD 11 GARA@NIH MESTA",704091,45281,"34",,
16835,2,2,,"PR",3001,"1",,34.00,,704091,45281,"34",,
16836,3,2,,"PR",3001,"2",,48.22,,704091,45281,"34",,
16837,4,2,,"PR",3001,"3",,86.69,,704091,45281,"34",,
16838,5,2,,"PR",3001,"4",,43.91,,704091,45281,"34",,
16839,6,2,,"01",3001,"5",,39.40,,704091,45281,"34",,
16840,7,2,,"01",3001,"6",,62.83,,704091,45281,"34",,
16841,8,2,,"01",3001,"7",,86.61,,704091,45281,"34",,
16842,9,2,,"01",3001,"8",,43.91,,704091,45281,"34",,
16843,10,2,,"02",3001,"9",,39.40,,704091,45281,"34",,
16844,11,2,,"02",3001,"10",,62.83,,704091,45281,"34",,
16845,12,2,,"02",3001,"11",,86.89,,704091,45281,"34",,
16846,13,2,,"02",3001,"12",,43.91,,704091,45281,"34",,
16847,1,7,,"PR",3992,"BB",,,,704091,45741,"1",,
16848,2,7,,"PK",3001,"BB",,,,704091,45741,"1",,
16853,1,7,"0.1","PR",3001,"BB",,,"OD VE]E SOBE KOJA SE NA JUGOISTO^NOJ STRANI ULICE",704091,45296,"2","A",
16854,2,7,"0.2","PR",3001,"BB",,,"OD JEDNE SOBE I KUHIWE",704091,45296,"2","A",
16855,1,2,"2.0","PR",3001,"BB",,54.19,"DO ULICE",704091,45416,"4",,
16856,2,2,"2.0","PR",3001,"BB",,65.32,"DO DVORI[TA",704091,45416,"4",,
16857,3,2,,"PK",3001,"BB",,97.72,,704091,45416,"4",,
16859,1,7,"0.2","PR",3001,"BB",,,,704091,45505,"4-4","A",
16860,2,7,,"01",3001,"BB",,,,704091,45505,"4-4","A",
16861,3,7,,"PK",3001,"BB",,,,704091,45505,"4-4","A",
16866,1,7,"3.0","01",3001,"BB",,,,704091,45770,"1",,
16867,2,7,"3.0","PR",3001,"BB",,,"^ETRI PROSTORIJE I PROSTORIJE ZA SANITARNE URE\AJE",704091,45770,"1",,
16868,1,2,"2.0","PR",3001,"BB",,80.00,"SA PODRUMOM",704091,45528,"7",,
16869,2,2,"3.0","01",3001,"BB",,79.82,"PRESOBQE,DVE SOBE,KUHIWA,KUPATILA OSTAVA I TARASA",704091,45528,"7",,
16870,3,2,"3.0","PK",3001,"BB",,95.26,"PRESOBQE,DVE SOBE,KUHIWA,KUPATILA OSTAVA",704091,45528,"7",,
16874,1,2,,"PR",3342,"BB",,71.65,"PEKARA-MAGACIN,1-a RADIO.,FURUNA,KOMORA,PRODAJ.PRO",704091,45770,"4","A",
16875,2,2,"2.0","01",3001,"BB",,70.74,"DNEVNA SOBA SA KUHIWOM, DVE SPAVA]E SOBE I HODNIK",704091,45770,"4","A",
16884,1,7,,"PR",3001,"BB",,,,704091,45652,"21",,
16885,2,7,"2.0","01",3001,"BB",,,,704091,45652,"21",,
16887,1,2,"2.5","01",3001,"1",,65.00,"TRI SOBE JEDNE KUHINJE,KUPATILA,OSTAVE I PODRUMA ",704091,45451,"28",,
16888,2,2,"2.0","01",3001,"2",,52.00,"DVE SOBE JEDNE KUHINJE,KUPATILA,PREDSOBQA-[PAIZA  ",704091,45451,"28",,
16889,3,2,"2.5",,3001,"3",,65.00,"TRI SOBE JEDNE KUHINJE,KUPATILA,OSTAVE I PREDSOBQA",704091,45451,"28",,
16890,4,2,"2.5","02",3001,"4",,64.00,"JEDNE KUHINJE,TRPEZARIJE,PREDSOBQA,OSTAVE,PODRUMA ",704091,45451,"28",,
16891,5,2,"2.0","02",3001,"5",,52.00,"DVE SOBE,JEDNE KUHINJE,KUPATILA,OSTAVE I PODRUMA ",704091,45451,"28",,
16892,6,2,"2.5","02",3001,"6",,65.00,"TRI SOBE JEDNE KUHINJE,KUPATILA,OSTAVE I PODRUMA ",704091,45451,"28",,
16893,7,2,"2.5","03",3001,"7",,65.00,,704091,45451,"28",,
16894,8,2,"2.0","03",3001,"8",,52.00,"DVE SOBE JEDNE KUHINJE,KUPATILA,VC,OSTAVE,PODRUMA ",704091,45451,"28",,
16895,9,2,"2.5","03",3001,"9",,65.00,"TRI SOBE JEDNE KUHINJE,KUPATILA,OSTAVE,PODR.PRED. ",704091,45451,"28",,
16896,10,7,,"PO",3992,"BB",,,"ARHIVA POSLOVNOG PROSTORA",704091,45451,"28",,
16897,11,2,,"PR",3992,"BB",,17.73,"KANCELARIJA",704091,45451,"28",,
16898,12,2,,,3992,"BB",,18.63,"KANCELARIJA",704091,45451,"28",,
16899,13,2,,"PR",3992,"BB",,16.78,"KANCELARIJA",704091,45451,"28",,
16900,14,2,,"PR",3992,"BB",,16.78,"KANCELARIJA",704091,45451,"28",,
16901,15,2,,"PR",3992,"BB",,17.75,"KANCELARIJA",704091,45451,"28",,
16902,16,2,,"PR",3992,"BB",,35.80,"KANCELARIJA",704091,45451,"28",,
16903,17,2,,"PR",3992,"BB",,8.67,"KANCELARIJA",704091,45451,"28",,
